docId,city_name,country_name,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
0,"Algiers","Algeria",18,8,9,627,9,10,25,1952,5373,361
1,"Luanda","Angola",9,4,1264,10,73,4,11,11,4446,850
2,"Porto-Novo","Benin",13,15,10,4,17,4,6,79,2522,1466
3,"Gaborone","Botswana",7,4,8,7,8,351,4,2,3005,1461
4,"Ouagadougou","Burkina Faso",25,8,9,31,1,4,5,155,3093,1933
5,"Bujumbura","Burundi",10,33,5,20,2,24,6,64,3399,1784
6,"Yaoundé","Cameroon",11,11,11,25,7,339,3,60,3485,1861
7,"Praia","Cape Verde",5,2,1723,6,85,118,8,19,2997,479
8,"Bangui","Central African Republic",4,15,11,36,11,6,10,119,3202,2069
9,"N'Djamena","Chad",16,4,8,88,4,5,12,146,3599,1879
10,"Moroni","Comoros",14,7,16,268,7,178,4,96,2863,1541
11,"Brazzaville","Congo",7,5,2,6,7,4,7,85,1786,1166
12,"Yamoussoukro","Côte d'Ivoire",3,10,3,16,21,6,4,1776,4257,1103
13,"Kinshasa","Democratic Republic of the Congo",18,25,4,10,21,8,5,72,5245,2895
14,"Djibouti","Djibouti",16,4,16,347,4,18,9,75,3357,1758
15,"Cairo","Egypt",73,9,8,2872,19,16,11,76,6518,435
16,"Malabo","Equatorial Guinea",1,11,37,12,488,37,4,37,3570,1991
17,"Asmara","Eritrea",26,6,1,258,10,17,4,5,3803,1942
18,"Addis Ababa","Ethiopia",26,21,19,191,10,8,48,13,7055,3061
19,"Libreville","Gabon",13,10,2,21,11,7,11,72,2767,1431
20,"Banjul","Gambia",11,16,6,71,2,32,12,39,3370,1454
21,"Accra","Ghana",0,14,9,14,32,256,7,5,3074,1637
22,"Conakry","Guinea",10,7,7,26,4,15,20,43,2984,1820
23,"Bissau","Guinea-Bissau",21,18,610,33,54,7,10,43,2407,1371
24,"Nairobi","Kenya",7,4,35,65,8,446,16,6,6358,2662
25,"Maseru","Lesotho",7,7,16,3,4,475,3,11,3111,1362
26,"Monrovia","Liberia",4,17,4,5,25,209,9,4,3705,1645
27,"Tripoli","Libya",92,6,5,2076,9,4,13,114,5230,426
28,"Antananarivo","Madagascar",4,6,669,30,26,222,1,1853,7649,959
29,"Lilongwe","Malawi",5,8,15,10,4,350,10,3,3560,1572
30,"Bamako","Mali",5,7,6,57,9,6,6,171,3186,1746
31,"Nouakchott","Mauritania",10,12,12,237,18,2,10,177,3140,1691
32,"Port Louis","Mauritius",9,13,118,8,4,1315,4,83,3059,837
33,"Rabat","Morocco",17,9,9,596,119,82,7,1668,4379,284
34,"Maputo","Mozambique",9,24,1147,51,26,153,16,11,4397,1503
35,"Windhoek","Namibia",1,37,9,4,7,405,4,6,4237,2012
36,"Niamey","Niger",3,1,6,66,5,10,8,92,4190,2123
37,"Abuja","Nigeria",13,7,26,96,35,391,26,5,6675,2799
